"","pp_no","condition","trial","muscle","bin","Zdiff"
"288","pp481","913","trial7","brow","diff_bin8",-0.341232574532331
"289","pp481","913","trial7","brow","diff_bin9",-0.603701999910858
"290","pp481","913","trial7","brow","diff_bin10",-0.698855537188166
"291","pp481","913","trial7","cheek","diff_bin1",0.0648231802147197
"292","pp481","913","trial7","cheek","diff_bin2",0.141183975643301
"293","pp481","913","trial7","cheek","diff_bin3",0.209802424020475
"294","pp481","913","trial7","cheek","diff_bin4",0.180654764532826
"295","pp481","913","trial7","cheek","diff_bin5",0.482720157582565
"296","pp481","913","trial7","cheek","diff_bin6",0.23800126646751
"297","pp481","913","trial7","cheek","diff_bin7",0.0807633064970279
"298","pp481","913","trial7","cheek","diff_bin8",-0.0525644640499924
"299","pp481","913","trial7","cheek","diff_bin9",0.569631798502769
"300","pp481","913","trial7","cheek","diff_bin10",-0.23724221283502
"301","pp481","913","trial8","brow","diff_bin1",0.38064603702387
"302","pp481","913","trial8","brow","diff_bin2",-2.17823156095029
"303","pp481","913","trial8","brow","diff_bin3",-1.98059026602912
"304","pp481","913","trial8","brow","diff_bin4",-2.72788354555114
"305","pp481","913","trial8","brow","diff_bin5",-1.63769951993566
"306","pp481","913","trial8","brow","diff_bin6",2.71905059319665
"307","pp481","913","trial8","brow","diff_bin7",-0.0411991857112204
"308","pp481","913","trial8","brow","diff_bin8",-0.999271580984923
"309","pp481","913","trial8","brow","diff_bin9",2.43633234202352
"310","pp481","913","trial8","brow","diff_bin10",3.51239002145474
"311","pp481","913","trial8","cheek","diff_bin1",-3.73871866683375
"312","pp481","913","trial8","cheek","diff_bin2",-3.04900458367093
"313","pp481","913","trial8","cheek","diff_bin3",-3.68550900719614
"314","pp481","913","trial8","cheek","diff_bin4",-3.22468754691094
"315","pp481","913","trial8","cheek","diff_bin5",-2.73206173942437
"316","pp481","913","trial8","cheek","diff_bin6",-1.58623232849778
"317","pp481","913","trial8","cheek","diff_bin7",-1.80043726358671
"318","pp481","913","trial8","cheek","diff_bin8",-2.33405196722778
"319","pp481","913","trial8","cheek","diff_bin9",0.0420895239216175
"320","pp481","913","trial8","cheek","diff_bin10",-1.46876877886982
"321","pp4810","285","trial1","brow","diff_bin1",0.25377721541418
"322","pp4810","285","trial1","brow","diff_bin2",0.56994011527693
"323","pp4810","285","trial1","brow","diff_bin3",0.747565308069359
"324","pp4810","285","trial1","brow","diff_bin4",1.48018136721342
"325","pp4810","285","trial1","brow","diff_bin5",0.203717803875343
