pp_no,condition,emotion,trial,muscle,bin,Zdiff
pp401,dyn,929,trial4,brow,diff_bin1,0.7860218484738125
pp401,dyn,929,trial4,brow,diff_bin2,0.6770071362846117
pp401,dyn,929,trial4,brow,diff_bin3,0.8236903874319308
pp401,dyn,929,trial4,brow,diff_bin4,1.043201814427334
pp401,dyn,929,trial4,brow,diff_bin5,0.7936652477977182
pp401,dyn,929,trial4,brow,diff_bin6,0.9085262852713111
pp401,dyn,929,trial4,cheek,diff_bin1,NA
pp401,dyn,929,trial4,cheek,diff_bin2,NA
pp401,dyn,929,trial4,cheek,diff_bin3,NA
pp401,dyn,929,trial4,cheek,diff_bin4,NA
pp401,dyn,929,trial4,cheek,diff_bin5,NA
pp401,dyn,929,trial4,cheek,diff_bin6,NA
pp401,dyn,929,trial5,brow,diff_bin1,0.13243724341711965
pp401,dyn,929,trial5,brow,diff_bin2,0.37925486036357514
pp401,dyn,929,trial5,brow,diff_bin3,0.3774111090762818
pp401,dyn,929,trial5,brow,diff_bin4,0.1680519834729364
pp401,dyn,929,trial5,brow,diff_bin5,-0.029217734955498675
pp401,dyn,929,trial5,brow,diff_bin6,-0.027268959860701325
pp401,dyn,929,trial5,cheek,diff_bin1,0.5015324924572412
pp401,dyn,929,trial5,cheek,diff_bin2,0.4339048620168352
pp401,dyn,929,trial5,cheek,diff_bin3,0.6140534428409263
pp401,dyn,929,trial5,cheek,diff_bin4,0.47274760194124554
pp401,dyn,929,trial5,cheek,diff_bin5,0.46600269306775244
pp401,dyn,929,trial5,cheek,diff_bin6,0.4515804908588421
pp401,dyn,929,trial6,brow,diff_bin1,-0.18444630826509295
pp401,dyn,929,trial6,brow,diff_bin2,-0.2476473017586394
pp401,dyn,929,trial6,brow,diff_bin3,-0.1323661690550304
pp401,dyn,929,trial6,brow,diff_bin4,-0.12279733326021737
pp401,dyn,929,trial6,brow,diff_bin5,-0.018228628922021123
pp401,dyn,929,trial6,brow,diff_bin6,-0.17271864976047435
pp401,dyn,929,trial6,cheek,diff_bin1,-0.9335110041754291
pp401,dyn,929,trial6,cheek,diff_bin2,-1.0460517925263892
pp401,dyn,929,trial6,cheek,diff_bin3,-0.9888192569380727
pp401,dyn,929,trial6,cheek,diff_bin4,-0.9734249943326884
pp401,dyn,929,trial6,cheek,diff_bin5,-1.0684885335143914
pp401,dyn,929,trial6,cheek,diff_bin6,-0.9875297890651991
pp401,dyn,929,trial7,brow,diff_bin1,-0.7685514356453363
pp401,dyn,929,trial7,brow,diff_bin2,-0.628834763729119
pp401,dyn,929,trial7,brow,diff_bin3,-1.0095343966193446
