pp_no,condition,emotion,bin,bin_no,trial,muscle,rms
pp401,dyn,828,bin_1,1,trial2,brow,12.5066
pp401,dyn,828,bin_1,1,trial2,cheek,4.1339
pp401,dyn,828,bin_2,2,trial2,brow,12.3335
pp401,dyn,828,bin_2,2,trial2,cheek,4.3141
pp401,dyn,828,bin_3,3,trial2,brow,13.0705
pp401,dyn,828,bin_3,3,trial2,cheek,3.9666
pp401,dyn,828,bin_4,4,trial2,brow,14.101
pp401,dyn,828,bin_4,4,trial2,cheek,4.3916
pp401,dyn,828,bin_5,5,trial2,brow,12.8472
pp401,dyn,828,bin_5,5,trial2,cheek,4.1947
pp401,dyn,828,bin_6,6,trial2,brow,12.5952
pp401,dyn,828,bin_6,6,trial2,cheek,4.0947
pp401,dyn,828,bin_0,0,trial3,brow,14.2295
pp401,dyn,828,bin_0,0,trial3,cheek,8.3774
pp401,dyn,828,bin_1,1,trial3,brow,13.9996
pp401,dyn,828,bin_1,1,trial3,cheek,6.2873
pp401,dyn,828,bin_2,2,trial3,brow,12.3067
pp401,dyn,828,bin_2,2,trial3,cheek,5.514
pp401,dyn,828,bin_3,3,trial3,brow,9.7728
pp401,dyn,828,bin_3,3,trial3,cheek,4.4257
pp401,dyn,828,bin_4,4,trial3,brow,9.6231
pp401,dyn,828,bin_4,4,trial3,cheek,4.7443
pp401,dyn,828,bin_5,5,trial3,brow,13.0823
pp401,dyn,828,bin_5,5,trial3,cheek,4.3206
pp401,dyn,828,bin_6,6,trial3,brow,13.1984
pp401,dyn,828,bin_6,6,trial3,cheek,4.3843
pp401,dyn,828,bin_0,0,trial4,brow,14.2926
pp401,dyn,828,bin_0,0,trial4,cheek,5.8706
pp401,dyn,828,bin_1,1,trial4,brow,14.1175
pp401,dyn,828,bin_1,1,trial4,cheek,4.3
pp401,dyn,828,bin_2,2,trial4,brow,13.5386
pp401,dyn,828,bin_2,2,trial4,cheek,4.7089
pp401,dyn,828,bin_3,3,trial4,brow,10.9609
pp401,dyn,828,bin_3,3,trial4,cheek,5.0011
