pp_no,condition,emotion,bin,bin_no,trial,muscle,rms,bl_outlier
pp410,dyn,828,bin_3,3,trial1,cheek,16.4929,TRUE
pp410,dyn,828,bin_4,4,trial1,cheek,15.7529,TRUE
pp410,dyn,828,bin_5,5,trial1,cheek,6.9326,TRUE
pp410,dyn,828,bin_6,6,trial1,cheek,5.0135,TRUE
pp410,dyn,929,bin_0,0,trial5,brow,5.7348,TRUE
pp410,dyn,929,bin_1,1,trial5,brow,10.4633,TRUE
pp410,dyn,929,bin_2,2,trial5,brow,3.3994,TRUE
pp410,dyn,929,bin_3,3,trial5,brow,2.3035,TRUE
pp410,dyn,929,bin_4,4,trial5,brow,2.1154,TRUE
pp410,dyn,929,bin_5,5,trial5,brow,2.5641,TRUE
pp410,dyn,929,bin_6,6,trial5,brow,2.614,TRUE
pp410,dyn,929,bin_0,0,trial5,cheek,20.8862,TRUE
pp410,dyn,929,bin_1,1,trial5,cheek,15.8855,TRUE
pp410,dyn,929,bin_2,2,trial5,cheek,8.8719,TRUE
pp410,dyn,929,bin_3,3,trial5,cheek,29.7061,TRUE
pp410,dyn,929,bin_4,4,trial5,cheek,38.0858,TRUE
pp410,dyn,929,bin_5,5,trial5,cheek,15.0397,TRUE
pp410,dyn,929,bin_6,6,trial5,cheek,15.8443,TRUE
pp411,dyn,626,bin_0,0,trial4,cheek,29.3483,TRUE
pp411,dyn,626,bin_1,1,trial4,cheek,15.3468,TRUE
pp411,dyn,626,bin_2,2,trial4,cheek,7.612,TRUE
pp411,dyn,626,bin_3,3,trial4,cheek,6.8293,TRUE
pp411,dyn,626,bin_4,4,trial4,cheek,3.3533,TRUE
pp411,dyn,626,bin_5,5,trial4,cheek,5.6993,TRUE
pp411,dyn,626,bin_6,6,trial4,cheek,5.4156,TRUE
pp411,dyn,626,bin_0,0,trial8,brow,13.7029,TRUE
pp411,dyn,626,bin_1,1,trial8,brow,9.4754,TRUE
pp411,dyn,626,bin_2,2,trial8,brow,7.7764,TRUE
pp411,dyn,626,bin_3,3,trial8,brow,6.1558,TRUE
pp411,dyn,626,bin_4,4,trial8,brow,3.2878,TRUE
pp411,dyn,626,bin_5,5,trial8,brow,2.6807,TRUE
pp411,dyn,626,bin_6,6,trial8,brow,5.7171,TRUE
pp411,dyn,727,bin_0,0,trial1,brow,41.3783,TRUE
pp411,dyn,727,bin_1,1,trial1,brow,86.0889,TRUE
