pp_no,model,emotion,trial,muscle,bin,zdiff,emo
pp401,adult,434,trial2,cheek,diff_bin3,0.09309313574256481,Fear
pp401,adult,434,trial2,cheek,diff_bin4,0.022291416089256277,Fear
pp401,adult,434,trial2,cheek,diff_bin5,-0.04666050475448069,Fear
pp401,adult,434,trial2,cheek,diff_bin6,-0.05593630748073769,Fear
pp401,adult,434,trial2,cheek,diff_bin7,0.008431329356670014,Fear
pp401,adult,434,trial2,cheek,diff_bin8,-0.0264333569019925,Fear
pp401,adult,434,trial2,cheek,diff_bin9,-0.055748646731940577,Fear
pp401,adult,434,trial3,brow,diff_bin1,-0.09730989005093549,Fear
pp401,adult,434,trial3,brow,diff_bin10,-0.06392341116545275,Fear
pp401,adult,434,trial3,brow,diff_bin2,-0.4796807670190021,Fear
pp401,adult,434,trial3,brow,diff_bin3,0.5105366783966044,Fear
pp401,adult,434,trial3,brow,diff_bin4,0.3648695571446574,Fear
pp401,adult,434,trial3,brow,diff_bin5,-0.15051560353595306,Fear
pp401,adult,434,trial3,brow,diff_bin6,-0.583561626481157,Fear
pp401,adult,434,trial3,brow,diff_bin7,-0.045720337327253446,Fear
pp401,adult,434,trial3,brow,diff_bin8,-0.48523100331779884,Fear
pp401,adult,434,trial3,brow,diff_bin9,-0.08676231455590411,Fear
pp401,adult,434,trial3,cheek,diff_bin1,-0.18830415707869702,Fear
pp401,adult,434,trial3,cheek,diff_bin10,0.03639278092743892,Fear
pp401,adult,434,trial3,cheek,diff_bin2,-0.20453681184964678,Fear
pp401,adult,434,trial3,cheek,diff_bin3,0.15259499745044755,Fear
pp401,adult,434,trial3,cheek,diff_bin4,0.2030757388768693,Fear
pp401,adult,434,trial3,cheek,diff_bin5,0.3076832019920567,Fear
pp401,adult,434,trial3,cheek,diff_bin6,0.5343907908781618,Fear
pp401,adult,434,trial3,cheek,diff_bin7,0.9417888721774812,Fear
pp401,adult,434,trial3,cheek,diff_bin8,0.7897702613126247,Fear
pp401,adult,434,trial3,cheek,diff_bin9,0.28166537960525784,Fear
pp401,adult,434,trial4,brow,diff_bin1,0.06530565392185816,Fear
pp401,adult,434,trial4,brow,diff_bin10,-0.5196382153157042,Fear
pp401,adult,434,trial4,brow,diff_bin2,-0.9752679583732536,Fear
pp401,adult,434,trial4,brow,diff_bin3,-0.28370000943390117,Fear
pp401,adult,434,trial4,brow,diff_bin4,-0.8985428527561699,Fear
pp401,adult,434,trial4,brow,diff_bin5,0.22415724454259434,Fear
pp401,adult,434,trial4,brow,diff_bin6,-0.5810735895196275,Fear
pp401,adult,434,trial4,brow,diff_bin7,-0.6639656243575965,Fear
pp401,adult,434,trial4,brow,diff_bin8,-1.1396697852927866,Fear
pp401,adult,434,trial4,brow,diff_bin9,-0.499797715442994,Fear
pp401,adult,434,trial4,cheek,diff_bin1,0.12333332497729861,Fear
pp401,adult,434,trial4,cheek,diff_bin10,-0.22791397941408648,Fear
pp401,adult,434,trial4,cheek,diff_bin2,0.1629029342950885,Fear
pp401,adult,434,trial4,cheek,diff_bin3,-0.15486033077521266,Fear
pp401,adult,434,trial4,cheek,diff_bin4,-0.19107885529305435,Fear
pp401,adult,434,trial4,cheek,diff_bin5,-0.15869397178635358,Fear
pp401,adult,434,trial4,cheek,diff_bin6,-0.3080183104720515,Fear
pp401,adult,434,trial4,cheek,diff_bin7,-0.22755206225569202,Fear
pp401,adult,434,trial4,cheek,diff_bin8,-0.26269823963755023,Fear
pp401,adult,434,trial4,cheek,diff_bin9,-0.2669072021462853,Fear
pp401,adult,434,trial5,brow,diff_bin1,-0.3942368993999772,Fear
