pp_no,model,emotion,trial,muscle,bin,zdiff,emo_type
pp401,adult,232,trial4,cheek,bin7,-0.319264551060678,adult_angry
pp401,adult,232,trial4,cheek,bin8,-0.2583284250584175,adult_angry
pp401,adult,232,trial4,cheek,bin9,-0.3393710598603681,adult_angry
pp401,adult,232,trial5,brow,bin1,-0.2594575980138692,adult_angry
pp401,adult,232,trial5,brow,in10,-0.21907484425365786,adult_angry
pp401,adult,232,trial5,brow,bin2,0.1850716724460867,adult_angry
pp401,adult,232,trial5,brow,bin3,0.0788728982078061,adult_angry
pp401,adult,232,trial5,brow,bin4,-0.3360125814455492,adult_angry
pp401,adult,232,trial5,brow,bin5,-0.18377449078238323,adult_angry
pp401,adult,232,trial5,brow,bin6,0.00036150964398284913,adult_angry
pp401,adult,232,trial5,brow,bin7,NA,adult_angry
pp401,adult,232,trial5,brow,bin8,-0.3861135650469489,adult_angry
pp401,adult,232,trial5,brow,bin9,-0.13037738983878616,adult_angry
pp401,adult,232,trial5,cheek,bin1,0.1121675104238708,adult_angry
pp401,adult,232,trial5,cheek,in10,0.2574839516888306,adult_angry
pp401,adult,232,trial5,cheek,bin2,0.25592904834165453,adult_angry
pp401,adult,232,trial5,cheek,bin3,0.3081523538640495,adult_angry
pp401,adult,232,trial5,cheek,bin4,0.2932333243346795,adult_angry
pp401,adult,232,trial5,cheek,bin5,0.18673584939232124,adult_angry
pp401,adult,232,trial5,cheek,bin6,0.20748576647360134,adult_angry
pp401,adult,232,trial5,cheek,bin7,0.20024742330571288,adult_angry
pp401,adult,232,trial5,cheek,bin8,0.21732455144624974,adult_angry
pp401,adult,232,trial5,cheek,bin9,0.1715487330789554,adult_angry
pp401,adult,232,trial6,brow,bin1,NA,adult_angry
pp401,adult,232,trial6,brow,in10,0.1805634345328877,adult_angry
pp401,adult,232,trial6,brow,bin2,-0.13329073226382548,adult_angry
pp401,adult,232,trial6,brow,bin3,-7.868151074923238e-4,adult_angry
pp401,adult,232,trial6,brow,bin4,-0.1745666274974061,adult_angry
pp401,adult,232,trial6,brow,bin5,0.03077085028490037,adult_angry
pp401,adult,232,trial6,brow,bin6,-0.1652949683929027,adult_angry
pp401,adult,232,trial6,brow,bin7,0.2646250593955073,adult_angry
pp401,adult,232,trial6,brow,bin8,-0.16842096354969618,adult_angry
pp401,adult,232,trial6,brow,bin9,0.14086116951429134,adult_angry
pp401,adult,232,trial6,cheek,bin1,0.0328942483962929,adult_angry
pp401,adult,232,trial6,cheek,in10,0.021111834239674554,adult_angry
pp401,adult,232,trial6,cheek,bin2,-0.024208236594826738,adult_angry
pp401,adult,232,trial6,cheek,bin3,-0.019007352985306925,adult_angry
pp401,adult,232,trial6,cheek,bin4,-0.061767195032647715,adult_angry
pp401,adult,232,trial6,cheek,bin5,0.05092308462001499,adult_angry
pp401,adult,232,trial6,cheek,bin6,NA,adult_angry
pp401,adult,232,trial6,cheek,bin7,0.12744845711163524,adult_angry
pp401,adult,232,trial6,cheek,bin8,0.2880324407251597,adult_angry
pp401,adult,232,trial6,cheek,bin9,0.05229032721839394,adult_angry
pp401,adult,232,trial7,brow,bin1,0.10736836426293156,adult_angry
pp401,adult,232,trial7,brow,in10,-0.4019987241090223,adult_angry
pp401,adult,232,trial7,brow,bin2,-0.006485908318517336,adult_angry
pp401,adult,232,trial7,brow,bin3,-0.2657946494201583,adult_angry
pp401,adult,232,trial7,brow,bin4,0.27914924097435156,adult_angry
pp401,adult,232,trial7,brow,bin5,0.2734926783096774,adult_angry
pp401,adult,232,trial7,brow,bin6,-0.15736302149845358,adult_angry
pp401,adult,232,trial7,brow,bin7,0.008697496728766005,adult_angry
pp401,adult,232,trial7,brow,bin8,0.5972139318598068,adult_angry
pp401,adult,232,trial7,brow,bin9,0.033790519075816774,adult_angry
pp401,adult,232,trial7,cheek,bin1,0.014878816511770698,adult_angry
pp401,adult,232,trial7,cheek,in10,-0.0160986113789518,adult_angry
pp401,adult,232,trial7,cheek,bin2,0.1217248042733235,adult_angry
pp401,adult,232,trial7,cheek,bin3,0.05967611811748008,adult_angry
pp401,adult,232,trial7,cheek,bin4,0.26828784908386405,adult_angry
pp401,adult,232,trial7,cheek,bin5,0.25826140336241865,adult_angry
pp401,adult,232,trial7,cheek,bin6,0.17048979028217176,adult_angry
pp401,adult,232,trial7,cheek,bin7,0.15688438599438143,adult_angry
pp401,adult,232,trial7,cheek,bin8,0.04719667832247243,adult_angry
pp401,adult,232,trial7,cheek,bin9,0.11951308830535762,adult_angry
