pp_no,muscle,condition,trial,bin,bin_no,rms
p488,brow,285,trial6,bin_14,14,18.5274
p488,brow,285,trial6,bin_15,15,14.549
p488,brow,285,trial6,bin_16,16,13.6613
p488,brow,285,trial6,bin_17,17,12.3952
p488,brow,285,trial6,bin_18,18,17.1672
p488,brow,285,trial6,bin_19,19,16.1939
p488,brow,285,trial6,bin_20,20,16.1787
p488,brow,285,trial7,bin_0,0,16.2651
p488,brow,285,trial7,bin_1,1,12.4812
p488,brow,285,trial7,bin_2,2,14.6643
p488,brow,285,trial7,bin_3,3,16.175
p488,brow,285,trial7,bin_4,4,15.5585
p488,brow,285,trial7,bin_5,5,12.0351
p488,brow,285,trial7,bin_6,6,7.1748
p488,brow,285,trial7,bin_7,7,10.7293
p488,brow,285,trial7,bin_8,8,12.6847
p488,brow,285,trial7,bin_9,9,10.993
p488,brow,285,trial7,bin_10,10,12.6094
p488,brow,285,trial7,bin_11,11,8.9129
p488,brow,285,trial7,bin_12,12,9.6084
p488,brow,285,trial7,bin_13,13,10.0916
p488,brow,285,trial7,bin_14,14,11.4622
p488,brow,285,trial7,bin_15,15,9.7333
p488,brow,285,trial7,bin_16,16,11.7717
p488,brow,285,trial7,bin_17,17,18.0027
p488,brow,285,trial7,bin_18,18,14.1959
p488,brow,285,trial7,bin_19,19,15.1598
p488,brow,285,trial7,bin_20,20,15.3547
p488,brow,285,trial8,bin_0,0,14.0873
p488,brow,285,trial8,bin_1,1,13.2678
p488,brow,285,trial8,bin_2,2,12.7638
p488,brow,285,trial8,bin_3,3,11.0056
p488,brow,285,trial8,bin_4,4,12.5281
p488,brow,285,trial8,bin_5,5,12.3617
p488,brow,285,trial8,bin_6,6,14.0755
p488,brow,285,trial8,bin_7,7,12.6903
p488,brow,285,trial8,bin_8,8,12.7141
p488,brow,285,trial8,bin_9,9,16.9043
p488,brow,285,trial8,bin_10,10,25.15
p488,brow,285,trial8,bin_11,11,20.3125
p488,brow,285,trial8,bin_12,12,15.8515
p488,brow,285,trial8,bin_13,13,20.3399
p488,brow,285,trial8,bin_14,14,15.8864
p488,brow,285,trial8,bin_15,15,20.3428
p488,brow,285,trial8,bin_16,16,18.1464
p488,brow,285,trial8,bin_17,17,17.2386
p488,brow,285,trial8,bin_18,18,17.7864
p488,brow,285,trial8,bin_19,19,11.1541
p488,brow,285,trial8,bin_20,20,14.9106
p488,cheek,285,trial1,bin_0,0,2.6303
p488,cheek,285,trial1,bin_1,1,3.0457
p488,cheek,285,trial1,bin_2,2,2.9381
p488,cheek,285,trial1,bin_3,3,3.0867
p488,cheek,285,trial1,bin_4,4,2.7457
p488,cheek,285,trial1,bin_5,5,2.5042
p488,cheek,285,trial1,bin_6,6,2.4113
p488,cheek,285,trial1,bin_7,7,1.9701
p488,cheek,285,trial1,bin_8,8,2.176
p488,cheek,285,trial1,bin_9,9,2.4466
p488,cheek,285,trial1,bin_10,10,2.8476
p488,cheek,285,trial1,bin_11,11,2.3762
p488,cheek,285,trial1,bin_12,12,2.747
p488,cheek,285,trial1,bin_13,13,2.4324
p488,cheek,285,trial1,bin_14,14,2.8457
p488,cheek,285,trial1,bin_15,15,2.0929
p488,cheek,285,trial1,bin_16,16,2.4647
p488,cheek,285,trial1,bin_17,17,3.4894
p488,cheek,285,trial1,bin_18,18,3.0049
p488,cheek,285,trial1,bin_19,19,2.8974
p488,cheek,285,trial1,bin_20,20,2.3701
p488,cheek,285,trial2,bin_0,0,2.6891
p488,cheek,285,trial2,bin_1,1,2.4922
p488,cheek,285,trial2,bin_2,2,2.0102
p488,cheek,285,trial2,bin_3,3,2.2559
p488,cheek,285,trial2,bin_4,4,3.3663
p488,cheek,285,trial2,bin_5,5,2.2768
p488,cheek,285,trial2,bin_6,6,2.6932
p488,cheek,285,trial2,bin_7,7,2.3545
p488,cheek,285,trial2,bin_8,8,2.0752
p488,cheek,285,trial2,bin_9,9,2.129
p488,cheek,285,trial2,bin_10,10,1.8119
p488,cheek,285,trial2,bin_11,11,2.8999
p488,cheek,285,trial2,bin_12,12,2.5505
p488,cheek,285,trial2,bin_13,13,2.2887
p488,cheek,285,trial2,bin_14,14,2.5458
p488,cheek,285,trial2,bin_15,15,2.7227
p488,cheek,285,trial2,bin_16,16,2.3036
p488,cheek,285,trial2,bin_17,17,2.1456
p488,cheek,285,trial2,bin_18,18,1.7461
p488,cheek,285,trial2,bin_19,19,2.3518
p488,cheek,285,trial2,bin_20,20,2.0364
p488,cheek,285,trial3,bin_0,0,2.317
p488,cheek,285,trial3,bin_1,1,2.5253
p488,cheek,285,trial3,bin_2,2,2.3213
p488,cheek,285,trial3,bin_3,3,2.2157
p488,cheek,285,trial3,bin_4,4,2.6092
p488,cheek,285,trial3,bin_5,5,2.2906
p488,cheek,285,trial3,bin_6,6,2.1672
p488,cheek,285,trial3,bin_7,7,2.173
p488,cheek,285,trial3,bin_8,8,2.3259
p488,cheek,285,trial3,bin_9,9,2.1685
p488,cheek,285,trial3,bin_10,10,1.8627
p488,cheek,285,trial3,bin_11,11,3.3475
p488,cheek,285,trial3,bin_12,12,2.4939
p488,cheek,285,trial3,bin_13,13,2.4547
p488,cheek,285,trial3,bin_14,14,3.3706
p488,cheek,285,trial3,bin_15,15,2.5899
p488,cheek,285,trial3,bin_16,16,2.1452
p488,cheek,285,trial3,bin_17,17,2.2855
p488,cheek,285,trial3,bin_18,18,2.2921
p488,cheek,285,trial3,bin_19,19,3.007
p488,cheek,285,trial3,bin_20,20,2.2966
p488,cheek,285,trial4,bin_0,0,6.3902
p488,cheek,285,trial4,bin_1,1,8.1174
p488,cheek,285,trial4,bin_2,2,3.3892
